,Cell_ID,Ligand_Label
129,Cell13083,1
130,Cell4524,1
131,Cell14001,1
132,Cell6303,1
133,Cell2485,1
134,Cell9653,1
135,Cell13252,1
136,Cell15021,1
137,Cell2152,1
138,Cell8260,1
139,Cell368,1
140,Cell7551,1
141,Cell3527,1
142,Cell11444,1
143,Cell9151,1
144,Cell5021,1
145,Cell14566,1
146,Cell3398,1
147,Cell1092,1
148,Cell2374,1
149,Cell9781,1
150,Cell7678,1
151,Cell3782,1
152,Cell15766,1
153,Cell12652,1
154,Cell10687,1
155,Cell1876,1
156,Cell1893,1
157,Cell1268,1
158,Cell12229,1
159,Cell3830,1
160,Cell8388,1
161,Cell7629,1
162,Cell234,1
163,Cell15524,1
164,Cell500,1
165,Cell5405,1
166,Cell4112,1
167,Cell7963,1
168,Cell5165,1
169,Cell5333,1
170,Cell8958,1
171,Cell39,1
172,Cell10323,1
173,Cell1711,1
174,Cell34,1
175,Cell7791,1
176,Cell9603,1
177,Cell15471,1
178,Cell7749,1
179,Cell11976,1
180,Cell12560,1
181,Cell2915,1
182,Cell9138,1
183,Cell8371,1
184,Cell2388,1
185,Cell12959,1
186,Cell14022,1
187,Cell277,1
188,Cell11810,1
189,Cell562,1
190,Cell5554,1
191,Cell564,1
192,Cell6680,1
193,Cell744,1
194,Cell9461,1
195,Cell6520,1
196,Cell12043,1
197,Cell9669,1
198,Cell6617,1
199,Cell8946,1
200,Cell1244,1
201,Cell11477,1
202,Cell9077,1
203,Cell12544,1
204,Cell4934,1
205,Cell13717,1
206,Cell13871,1
207,Cell13148,1
208,Cell7181,1
209,Cell4042,1
210,Cell4351,1
211,Cell8421,1
212,Cell12197,1
213,Cell821,1
214,Cell7597,1
215,Cell2328,1
216,Cell1422,1
217,Cell6205,1
218,Cell8628,1
219,Cell2297,1
220,Cell4177,1
221,Cell15234,1
222,Cell1796,1
223,Cell12960,1
224,Cell7321,1
225,Cell6333,1
226,Cell7941,1
227,Cell11357,1
228,Cell14228,1
229,Cell10707,1
230,Cell2649,1
231,Cell7143,1
232,Cell1008,1
233,Cell7465,1
234,Cell11892,1
235,Cell15560,1
236,Cell13092,1
237,Cell2790,1
238,Cell529,1
239,Cell6739,1
240,Cell7218,1
241,Cell9053,1
242,Cell8589,1
243,Cell9805,1
244,Cell4805,1
245,Cell1333,1
246,Cell1533,1
247,Cell11795,1
248,Cell9075,1
249,Cell10653,1
250,Cell2684,1
251,Cell6790,1
252,Cell994,1
253,Cell15302,1
254,Cell12244,1
255,Cell12033,1
256,Cell10258,1
257,Cell1123,1
258,Cell11287,1
259,Cell1537,1
260,Cell3088,1
261,Cell10143,1
262,Cell15297,1
263,Cell10457,1
264,Cell13301,1
265,Cell12524,1
266,Cell4973,1
267,Cell7586,1
268,Cell262,1
269,Cell7863,1
270,Cell2026,1
271,Cell4997,1
272,Cell13599,1
273,Cell8356,1
274,Cell6515,1
275,Cell5900,1
276,Cell14956,1
277,Cell2023,1
278,Cell11171,1
279,Cell10073,1
280,Cell14785,1
281,Cell15274,1
282,Cell13461,1
283,Cell673,1
284,Cell9271,1
285,Cell7081,1
286,Cell8659,1
287,Cell9864,1
288,Cell9748,1
289,Cell5788,1
290,Cell14366,1
291,Cell7335,1
292,Cell15831,1
293,Cell2464,1
294,Cell13261,1
295,Cell9934,1
296,Cell3658,1
297,Cell11388,1
298,Cell4441,1
299,Cell11474,1
300,Cell11800,1
301,Cell15306,1
302,Cell15216,1
303,Cell4055,1
304,Cell3754,1
305,Cell8166,1
306,Cell5927,1
307,Cell7084,1
308,Cell6546,1
309,Cell7198,1
310,Cell6713,1
311,Cell3872,1
312,Cell13140,1
313,Cell13521,1
314,Cell4469,1
315,Cell6092,1
316,Cell3593,1
317,Cell13888,1
318,Cell9215,1
319,Cell10751,1
320,Cell912,1
321,Cell11314,1
322,Cell15213,1
323,Cell15862,1
324,Cell6209,1
325,Cell9484,1
326,Cell14679,1
327,Cell6566,1
328,Cell407,1
329,Cell3935,1
330,Cell3595,1
331,Cell6268,1
332,Cell13638,1
333,Cell15424,1
334,Cell13606,1
335,Cell10784,1
336,Cell13901,1
337,Cell113,1
338,Cell14720,1
339,Cell3476,1
340,Cell13251,1
341,Cell10998,1
342,Cell10459,1
343,Cell4573,1
344,Cell323,1
345,Cell10382,1
346,Cell6194,1
347,Cell6533,1
348,Cell11078,1
349,Cell13887,1
350,Cell8128,1
351,Cell7983,1
352,Cell5597,1
353,Cell1166,1
354,Cell15723,1
355,Cell12549,1
356,Cell90,1
357,Cell8120,1
358,Cell12654,1
359,Cell5519,1
360,Cell279,1
361,Cell10571,1
362,Cell124,1
363,Cell12464,1
364,Cell3317,1
365,Cell7141,1
366,Cell2948,1
367,Cell4867,1
368,Cell1672,1
369,Cell13397,1
370,Cell15015,1
371,Cell14668,1
372,Cell11963,1
373,Cell14425,1
374,Cell9328,1
375,Cell1524,1
376,Cell8870,1
377,Cell14346,1
378,Cell4883,1
379,Cell1844,1
380,Cell2093,1
381,Cell4293,1
382,Cell3249,1
383,Cell5276,1
384,Cell3001,1
385,Cell13843,1
386,Cell1843,1
387,Cell12270,1
388,Cell3282,1
389,Cell6417,1
390,Cell3597,1
391,Cell13407,1
392,Cell7421,1
393,Cell13576,1
394,Cell13526,1
395,Cell14379,1
396,Cell15542,1
397,Cell7497,1
398,Cell3530,1
399,Cell14998,1
400,Cell1032,1
401,Cell4173,1
402,Cell1409,1
403,Cell5170,1
404,Cell11224,1
405,Cell11186,1
406,Cell15776,1
407,Cell12305,1
408,Cell14384,1
409,Cell8812,1
410,Cell4763,1
411,Cell7011,1
412,Cell15293,1
413,Cell3855,1
414,Cell9089,1
415,Cell711,1
416,Cell11731,1
417,Cell8060,1
418,Cell2167,1
419,Cell12335,1
420,Cell15695,1
421,Cell8139,1
422,Cell3566,1
423,Cell5460,1
424,Cell15552,1
425,Cell13868,1
426,Cell344,1
427,Cell4985,1
428,Cell15417,1
429,Cell9531,1
430,Cell8136,1
431,Cell12779,1
432,Cell4359,1
433,Cell7944,1
434,Cell12825,1
435,Cell7994,1
436,Cell5426,1
437,Cell15259,1
438,Cell15638,1
439,Cell15228,1
440,Cell5634,1
441,Cell9997,1
442,Cell15135,1
443,Cell11579,1
444,Cell6043,1
445,Cell1665,1
446,Cell9177,1
447,Cell6046,1
448,Cell11776,1
449,Cell3148,1
450,Cell15615,1
451,Cell9595,1
452,Cell3613,1
453,Cell10453,1
454,Cell7256,1
455,Cell10352,1
456,Cell957,1
457,Cell63,1
458,Cell6738,1
459,Cell709,1
460,Cell11503,1
461,Cell8567,1
462,Cell3388,1
463,Cell10021,1
464,Cell9844,1
465,Cell5456,1
466,Cell3225,1
467,Cell4651,1
468,Cell3504,1
469,Cell525,1
470,Cell7659,1
471,Cell13108,1
472,Cell10001,1
473,Cell9867,1
474,Cell15065,1
475,Cell1236,1
476,Cell9992,1
477,Cell10014,1
478,Cell12513,1
479,Cell3346,1
480,Cell9014,1
481,Cell10431,1
482,Cell896,1
483,Cell3232,1
484,Cell10211,1
485,Cell4484,1
486,Cell9709,1
487,Cell15694,1
488,Cell1858,1
489,Cell13967,1
490,Cell11668,1
491,Cell835,1
492,Cell11741,1
493,Cell10461,1
494,Cell10282,1
495,Cell5676,1
496,Cell3091,1
497,Cell8035,1
498,Cell2965,1
499,Cell2929,1
500,Cell2394,1
501,Cell5916,1
502,Cell6744,1
503,Cell11302,1
504,Cell5706,1
505,Cell4838,1
506,Cell12873,1
507,Cell5047,1
508,Cell5764,1
509,Cell4851,1
510,Cell10897,1
511,Cell9306,1
512,Cell7257,1
513,Cell13878,1
514,Cell12767,1
515,Cell8093,1
516,Cell11126,1
517,Cell4938,1
518,Cell8852,1
519,Cell5387,1
520,Cell4947,1
521,Cell2699,1
522,Cell15585,1
523,Cell11242,1
524,Cell9146,1
525,Cell5258,1
526,Cell4694,1
527,Cell8211,1
528,Cell12386,1
529,Cell4100,1
530,Cell11222,1
531,Cell4389,1
532,Cell12566,1
533,Cell5808,1
534,Cell6251,1
535,Cell2332,1
536,Cell10135,1
537,Cell683,1
538,Cell7946,1
539,Cell8362,1
540,Cell1738,1
541,Cell14202,1
542,Cell6772,1
543,Cell10172,1
544,Cell15857,1
545,Cell5880,1
546,Cell2281,1
547,Cell12437,1
548,Cell8540,1
549,Cell1361,1
550,Cell8307,1
551,Cell1287,1
552,Cell11631,1
553,Cell8412,1
554,Cell3525,1
555,Cell4776,1
556,Cell15301,1
557,Cell15242,1
558,Cell3909,1
559,Cell9189,1
560,Cell2880,1
561,Cell4138,1
562,Cell3348,1
563,Cell4769,1
564,Cell9305,1
565,Cell8554,1
566,Cell2804,1
567,Cell3912,1
568,Cell4720,1
569,Cell15225,1
570,Cell6146,1
571,Cell12707,1
572,Cell11790,1
573,Cell12093,1
574,Cell534,1
575,Cell14467,1
576,Cell12486,1
577,Cell6020,1
578,Cell9283,1
579,Cell5874,1
580,Cell680,1
581,Cell1730,1
582,Cell9255,1
583,Cell10757,1
584,Cell1702,1
585,Cell5066,1
586,Cell8037,1
587,Cell29,1
588,Cell13838,1
589,Cell11689,1
590,Cell11230,1
591,Cell2994,1
592,Cell5045,1
593,Cell1860,1
594,Cell9415,1
595,Cell13210,1
596,Cell5565,1
597,Cell6266,1
598,Cell3826,1
599,Cell12037,1
600,Cell1964,1
601,Cell2791,1
602,Cell7450,1
603,Cell7055,1
604,Cell8305,1
605,Cell15268,1
606,Cell9157,1
607,Cell8176,1
608,Cell14936,1
609,Cell8011,1
610,Cell4500,1
611,Cell13281,1
612,Cell5818,1
613,Cell4956,1
614,Cell12409,1
615,Cell9642,1
616,Cell15273,1
617,Cell14951,1
618,Cell10938,1
619,Cell14119,1
620,Cell11177,1
621,Cell9964,1
622,Cell13884,1
623,Cell6941,1
624,Cell3707,1
625,Cell12317,1
626,Cell15879,1
627,Cell6957,1
628,Cell13236,1
629,Cell13008,1
630,Cell5518,1
631,Cell9734,1
632,Cell7095,1
633,Cell1710,1
634,Cell8848,1
635,Cell8945,1
636,Cell15040,1
637,Cell6402,1
638,Cell6435,1
639,Cell12348,1
640,Cell9069,1
641,Cell6976,1
642,Cell3067,1
643,Cell1386,1
644,Cell11614,1
645,Cell11131,1
646,Cell13191,1
647,Cell9606,1
648,Cell9936,1
649,Cell14754,1
650,Cell14234,1
651,Cell15518,1
652,Cell1130,1
653,Cell9122,1
654,Cell8985,1
655,Cell13569,1
656,Cell6009,1
657,Cell14204,1
658,Cell3355,1
659,Cell3601,1
660,Cell6531,1
661,Cell8894,1
662,Cell7317,1
663,Cell7314,1
664,Cell3857,1
665,Cell6375,1
666,Cell15725,1
667,Cell11164,1
668,Cell6044,1
669,Cell9567,1
670,Cell4376,1
671,Cell15561,1
672,Cell4501,1
673,Cell15212,1
674,Cell11760,1
675,Cell12571,1
676,Cell14015,1
677,Cell9400,1
678,Cell4308,1
679,Cell13499,1
680,Cell14683,1
681,Cell12645,1
682,Cell583,1
683,Cell4377,1
684,Cell11603,1
685,Cell4674,1
686,Cell10412,1
687,Cell11925,1
688,Cell3278,1
689,Cell10094,1
690,Cell1185,1
691,Cell1567,1
692,Cell3583,1
693,Cell10244,1
694,Cell15589,1
695,Cell13317,1
696,Cell3507,1
697,Cell10993,1
698,Cell12210,1
699,Cell9324,1
700,Cell5031,1
701,Cell9108,1
702,Cell11576,1
703,Cell2601,1
704,Cell3102,1
705,Cell1494,1
706,Cell13836,1
707,Cell3158,1
708,Cell5991,1
709,Cell9947,1
710,Cell9526,1
711,Cell10493,1
712,Cell10875,1
713,Cell9961,1
714,Cell8529,1
715,Cell1271,1
716,Cell4182,1
717,Cell10576,1
718,Cell1855,1
719,Cell14536,1
720,Cell11057,1
721,Cell2071,1
722,Cell15374,1
723,Cell9455,1
724,Cell6937,1
725,Cell9031,1
726,Cell12822,1
727,Cell11719,1
728,Cell5000,1
729,Cell3166,1
730,Cell15179,1
731,Cell12005,1
732,Cell9288,1
733,Cell12956,1
734,Cell3884,1
735,Cell4416,1
736,Cell2512,1
737,Cell10370,1
738,Cell14723,1
739,Cell183,1
740,Cell15229,1
741,Cell13043,1
742,Cell8691,1
743,Cell3414,1
744,Cell2482,1
745,Cell4858,1
746,Cell1699,1
747,Cell4802,1
748,Cell2197,1
749,Cell8200,1
750,Cell2237,1
751,Cell13228,1
752,Cell5074,1
753,Cell3907,1
754,Cell307,1
755,Cell8761,1
756,Cell14265,1
757,Cell4538,1
758,Cell1028,1
759,Cell3715,1
760,Cell3550,1
761,Cell10052,1
762,Cell15824,1
763,Cell5022,1
764,Cell15224,1
765,Cell10142,1
766,Cell14004,1
767,Cell10512,1
768,Cell11359,1
769,Cell13999,1
770,Cell10582,1
771,Cell1450,1
772,Cell6262,1
773,Cell11590,1
774,Cell10111,1
775,Cell11905,1
776,Cell10053,1
777,Cell3992,1
778,Cell2927,1
779,Cell5155,1
780,Cell3328,1
781,Cell4657,1
782,Cell9430,1
783,Cell3741,1
784,Cell11618,1
785,Cell247,1
786,Cell7768,1
787,Cell3034,1
788,Cell695,1
789,Cell12591,1
790,Cell4175,1
791,Cell10451,1
792,Cell8125,1
793,Cell14451,1
794,Cell5548,1
795,Cell3967,1
796,Cell797,1
797,Cell14831,1
798,Cell13697,1
799,Cell14869,1
800,Cell6000,1
801,Cell15693,1
802,Cell2952,1
803,Cell6568,1
804,Cell2662,1
805,Cell7063,1
806,Cell14207,1
807,Cell7734,1
808,Cell9597,1
809,Cell9256,1
810,Cell12523,1
811,Cell920,1
812,Cell15777,1
813,Cell7585,1
814,Cell2164,1
815,Cell5524,1
816,Cell5576,1
817,Cell11896,1
818,Cell12706,1
819,Cell4740,1
820,Cell2286,1
821,Cell7916,1
822,Cell3732,1
823,Cell15287,1
824,Cell937,1
825,Cell12682,1
826,Cell1589,1
827,Cell4095,1
828,Cell10851,1
829,Cell672,1
830,Cell4192,1
831,Cell5037,1
832,Cell11993,1
833,Cell11707,1
834,Cell2441,1
835,Cell5856,1
836,Cell4790,1
837,Cell5545,1
838,Cell1857,1
839,Cell2598,1
840,Cell7381,1
841,Cell14630,1
842,Cell4850,1
843,Cell9395,1
844,Cell3612,1
845,Cell14562,1
846,Cell6990,1
847,Cell11443,1
848,Cell2780,1
849,Cell13190,1
850,Cell472,1
851,Cell11833,1
852,Cell7382,1
853,Cell15146,1
854,Cell13771,1
855,Cell8131,1
856,Cell3922,1
857,Cell338,1
858,Cell10122,1
859,Cell4313,1
860,Cell448,1
861,Cell1216,1
862,Cell5028,1
863,Cell14990,1
864,Cell1878,1
865,Cell15690,1
866,Cell11923,1
867,Cell2951,1
868,Cell15103,1
869,Cell2112,1
870,Cell5498,1
871,Cell13964,1
872,Cell7179,1
873,Cell11534,1
874,Cell5792,1
875,Cell11303,1
876,Cell4768,1
877,Cell2445,1
878,Cell5847,1
879,Cell2640,1
880,Cell3928,1
881,Cell7260,1
882,Cell4707,1
883,Cell2609,1
884,Cell4352,1
885,Cell1530,1
886,Cell10375,1
887,Cell3449,1
888,Cell7250,1
889,Cell7999,1
890,Cell11259,1
891,Cell2487,1
892,Cell13590,1
893,Cell8736,1
894,Cell12388,1
895,Cell5797,1
896,Cell11966,1
897,Cell2274,1
898,Cell7376,1
899,Cell15890,1
900,Cell7383,1
901,Cell23,1
902,Cell6712,1
903,Cell15757,1
904,Cell5953,1
905,Cell15377,1
906,Cell1939,1
907,Cell12396,1
908,Cell13291,1
909,Cell6803,1
910,Cell3886,1
911,Cell14266,1
912,Cell8811,1
913,Cell8070,1
914,Cell5616,1
915,Cell640,1
916,Cell6321,1
917,Cell12446,1
918,Cell13959,1
919,Cell13571,1
920,Cell14103,1
921,Cell10473,1
922,Cell13545,1
923,Cell2892,1
924,Cell1901,1
925,Cell12134,1
926,Cell5801,1
927,Cell8940,1
928,Cell10022,1
929,Cell8962,1
930,Cell15421,1
931,Cell305,1
932,Cell13417,1
933,Cell14578,1
934,Cell6699,1
935,Cell11598,1
936,Cell5180,1
937,Cell5213,1
938,Cell5625,1
939,Cell548,1
940,Cell13348,1
941,Cell11051,1
942,Cell5001,1
943,Cell10507,1
944,Cell9875,1
945,Cell15665,1
946,Cell6017,1
947,Cell5729,1
948,Cell13992,1
949,Cell997,1
950,Cell1115,1
951,Cell2749,1
952,Cell14880,1
953,Cell15491,1
954,Cell2221,1
955,Cell5584,1
956,Cell12555,1
957,Cell14328,1
958,Cell8434,1
959,Cell2934,1
960,Cell10839,1
961,Cell8819,1
962,Cell1493,1
963,Cell14374,1
964,Cell13057,1
965,Cell8887,1
966,Cell2853,1
967,Cell14684,1
968,Cell2849,1
969,Cell5156,1
970,Cell1436,1
971,Cell5248,1
972,Cell2621,1
973,Cell6912,1
974,Cell1004,1
975,Cell15877,1
976,Cell4023,1
977,Cell8103,1
978,Cell8333,1
979,Cell14121,1
980,Cell15728,1
981,Cell11016,1
982,Cell11311,1
983,Cell13644,1
984,Cell12976,1
985,Cell2501,1
986,Cell12744,1
987,Cell15439,1
988,Cell13294,1
989,Cell1083,1
990,Cell11218,1
991,Cell1160,1
992,Cell8205,1
993,Cell3654,1
994,Cell5377,1
995,Cell7638,1
996,Cell3343,1
997,Cell8782,1
998,Cell12601,1
999,Cell5842,1
1000,Cell4632,1
1001,Cell11525,1
1002,Cell973,1
1003,Cell9801,1
1004,Cell1513,1
1005,Cell5771,1
1006,Cell11067,1
1007,Cell10421,1
1008,Cell12204,1
1009,Cell6242,1
1010,Cell6374,1
1011,Cell10446,1
1012,Cell1836,1
1013,Cell8258,1
1014,Cell14009,1
1015,Cell9072,1
1016,Cell6550,1
1017,Cell14333,1
1018,Cell10799,1
1019,Cell9644,1
1020,Cell5140,1
1021,Cell5145,1
1022,Cell2920,1
1023,Cell10808,1
1024,Cell2040,1
1025,Cell8028,1
1026,Cell741,1
1027,Cell14481,1
1028,Cell6249,1
1029,Cell2543,1
1030,Cell286,1
1031,Cell6928,1
1032,Cell975,1
1033,Cell13534,1
1034,Cell9799,1
1035,Cell1660,1
1036,Cell6502,1
1037,Cell11633,1
1038,Cell3323,1
1039,Cell851,1
1040,Cell3380,1
1041,Cell6675,1
1042,Cell10124,1
1043,Cell3439,1
1044,Cell4169,1
1045,Cell10006,1
1046,Cell9349,1
1047,Cell6387,1
1048,Cell8048,1
1049,Cell9712,1
1050,Cell5667,1
1051,Cell392,1
1052,Cell3170,1
1053,Cell3213,1
1054,Cell10049,1
1055,Cell617,1
1056,Cell1934,1
1057,Cell54,1
1058,Cell15525,1
1059,Cell9472,1
1060,Cell5154,1
1061,Cell73,1
1062,Cell14643,1
1063,Cell12788,1
1064,Cell10932,1
1065,Cell102,1
1066,Cell13442,1
1067,Cell13955,1
1068,Cell3442,1
1069,Cell15110,1
1070,Cell11391,1
1071,Cell4475,1
1072,Cell6219,1
1073,Cell8284,1
1074,Cell5448,1
1075,Cell10016,1
1076,Cell9426,1
1077,Cell13338,1
1078,Cell6329,1
1079,Cell738,1
1080,Cell8868,1
1081,Cell2514,1
1082,Cell4391,1
1083,Cell1399,1
1084,Cell3989,1
1085,Cell4660,1
1086,Cell11345,1
1087,Cell8267,1
1088,Cell563,1
1089,Cell9659,1
1090,Cell12062,1
1091,Cell3577,1
1092,Cell13650,1
1093,Cell2826,1
1094,Cell15747,1
1095,Cell6077,1
1096,Cell11135,1
1097,Cell5689,1
1098,Cell3447,1
1099,Cell13687,1
1100,Cell10880,1
1101,Cell8617,1
1102,Cell12917,1
1103,Cell7398,1
1104,Cell14825,1
1105,Cell10966,1
1106,Cell12298,1
1107,Cell2644,1
1108,Cell5995,1
1109,Cell11295,1
1110,Cell11572,1
1111,Cell10933,1
1112,Cell8398,1
1113,Cell6527,1
1114,Cell3175,1
1115,Cell2341,1
1116,Cell9706,1
1117,Cell13443,1
1118,Cell6860,1
1119,Cell1748,1
1120,Cell14025,1
1121,Cell8014,1
1122,Cell7948,1
1123,Cell12676,1
1124,Cell8018,1
1125,Cell15363,1
1126,Cell11629,1
1127,Cell4814,1
1128,Cell3663,1
1129,Cell5646,1
1130,Cell14770,1
1131,Cell152,1
1132,Cell12531,1
1133,Cell10090,1
1134,Cell162,1
1135,Cell13655,1
1136,Cell9030,1
1137,Cell1323,1
1138,Cell5024,1
1139,Cell3279,1
1140,Cell10037,1
1141,Cell12733,1
1142,Cell2410,1
1143,Cell7871,1
1144,Cell3669,1
1145,Cell13889,1
1146,Cell12512,1
1147,Cell11560,1
1148,Cell1498,1
1149,Cell1694,1
1150,Cell11761,1
1151,Cell15447,1
1152,Cell4752,1
1153,Cell9123,1
1154,Cell11870,1
1155,Cell8360,1
1156,Cell13345,1
1157,Cell4327,1
1158,Cell3030,1
1159,Cell9451,1
1160,Cell13231,1
1161,Cell9290,1
1162,Cell10586,1
1163,Cell4431,1
1164,Cell5310,1
1165,Cell6067,1
1166,Cell8318,1
1167,Cell6098,1
1168,Cell1819,1
1169,Cell13449,1
1170,Cell6657,1
1171,Cell14571,1
1172,Cell7784,1
1173,Cell14178,1
1174,Cell10609,1
1175,Cell10643,1
1176,Cell5011,1
1177,Cell449,1
1178,Cell8787,1
1179,Cell5040,1
1180,Cell9815,1
1181,Cell14007,1
1182,Cell4936,1
1183,Cell6522,1
1184,Cell15341,1
1185,Cell6576,1
1186,Cell2162,1
1187,Cell258,1
1188,Cell13728,1
1189,Cell12613,1
1190,Cell6756,1
1191,Cell15506,1
1192,Cell13336,1
1193,Cell9870,1
1194,Cell14516,1
1195,Cell2650,1
1196,Cell8113,1
1197,Cell15084,1
1198,Cell12331,1
1199,Cell11256,1
1200,Cell12112,1
1201,Cell5414,1
1202,Cell4016,1
1203,Cell14686,1
1204,Cell12915,1
1205,Cell8300,1
1206,Cell4134,1
1207,Cell14223,1
1208,Cell10645,1
1209,Cell11928,1
1210,Cell668,1
1211,Cell15738,1
1212,Cell13357,1
1213,Cell13303,1
1214,Cell6523,1
1215,Cell2541,1
1216,Cell1767,1
1217,Cell2968,1
1218,Cell2400,1
1219,Cell3555,1
1220,Cell9469,1
1221,Cell15120,1
1222,Cell14053,1
1223,Cell4111,1
1224,Cell14102,1
1225,Cell7826,1
1226,Cell11804,1
1227,Cell10075,1
1228,Cell8656,1
1229,Cell14583,1
1230,Cell9181,1
1231,Cell2261,1
1232,Cell3759,1
1233,Cell7601,1
1234,Cell1743,1
1235,Cell12813,1
1236,Cell6973,1
1237,Cell4059,1
1238,Cell13718,1
1239,Cell10408,1
1240,Cell28,1
1241,Cell12114,1
1242,Cell8551,1
1243,Cell8751,1
1244,Cell8708,1
1245,Cell9927,1
1246,Cell11415,1
1247,Cell9429,1
1248,Cell14843,1
1249,Cell12219,1
1250,Cell6956,1
1251,Cell11132,1
1252,Cell782,1
1253,Cell7565,1
1254,Cell14727,1
1255,Cell5881,1
1256,Cell11605,1
1257,Cell5736,1
1258,Cell14915,1
1259,Cell4001,1
1260,Cell12045,1
1261,Cell4244,1
1262,Cell2781,1
1263,Cell6509,1
1264,Cell3875,1
1265,Cell7779,1
1266,Cell15473,1
1267,Cell9206,1
1268,Cell7267,1
1269,Cell9962,1
1270,Cell9492,1
1271,Cell15403,1
1272,Cell8462,1
1273,Cell2156,1
1274,Cell10994,1
1275,Cell4961,1
1276,Cell14547,1
1277,Cell11616,1
1278,Cell9619,1
1279,Cell7596,1
1280,Cell3659,1
1281,Cell1989,1
1282,Cell2805,1
1283,Cell3325,1
1284,Cell7607,1
1285,Cell10957,1
1286,Cell13460,1
1287,Cell10482,1
1288,Cell12356,1
1289,Cell4710,1
1290,Cell9745,1
1291,Cell13354,1
1292,Cell2335,1
1293,Cell5134,1
1294,Cell10178,1
1295,Cell14921,1
1296,Cell1915,1
1297,Cell2171,1
1298,Cell1289,1
1299,Cell12845,1
1300,Cell11669,1
1301,Cell4383,1
1302,Cell3888,1
1303,Cell15419,1
1304,Cell8235,1
1305,Cell10064,1
1306,Cell4106,1
1307,Cell12050,1
1308,Cell5608,1
1309,Cell2722,1
1310,Cell3746,1
1311,Cell4245,1
1312,Cell11954,1
1313,Cell5441,1
1314,Cell1247,1
1315,Cell7453,1
1316,Cell12166,1
1317,Cell14930,1
1318,Cell7873,1
1319,Cell15178,1
1320,Cell10712,1
1321,Cell8752,1
1322,Cell13431,1
1323,Cell864,1
1324,Cell193,1
1325,Cell4496,1
1326,Cell2313,1
1327,Cell15215,1
1328,Cell14704,1
1329,Cell11360,1
1330,Cell261,1
1331,Cell4599,1
1332,Cell14311,1
1333,Cell272,1
1334,Cell14810,1
1335,Cell13541,1
1336,Cell2202,1
1337,Cell14917,1
1338,Cell7357,1
1339,Cell2215,1
1340,Cell511,1
1341,Cell11890,1
1342,Cell10873,1
1343,Cell11989,1
1344,Cell6345,1
1345,Cell14417,1
1346,Cell4626,1
1347,Cell6085,1
1348,Cell983,1
1349,Cell5988,1
1350,Cell8981,1
1351,Cell10200,1
1352,Cell1005,1
1353,Cell9518,1
1354,Cell1094,1
1355,Cell9841,1
1356,Cell10255,1
1357,Cell8952,1
1358,Cell15546,1
1359,Cell4832,1
1360,Cell14960,1
1361,Cell2750,1
1362,Cell13134,1
1363,Cell13556,1
1364,Cell2249,1
1365,Cell9903,1
1366,Cell9382,1
1367,Cell94,1
