Cell_ID,Ligand_Label
Cell63170,4
Cell63782,4
Cell40706,4
Cell62552,4
Cell30089,4
Cell54440,4
Cell45370,4
Cell27517,4
Cell46781,4
Cell27019,4
Cell29309,4
Cell4004,4
Cell5191,4
Cell23842,4
Cell54693,4
Cell40274,4
Cell68797,4
Cell45171,4
Cell40418,4
Cell67099,4
Cell71134,4
Cell20569,4
Cell44585,4
Cell24230,4
Cell29828,4
Cell71726,4
Cell24781,4
Cell58259,4
Cell42075,4
Cell51902,4
Cell13968,4
Cell42176,4
Cell55256,4
Cell61957,4
Cell34830,4
Cell37333,4
Cell4305,4
Cell65074,4
Cell2758,4
Cell7061,4
Cell40106,4
Cell12251,4
Cell23792,4
Cell66986,4
Cell15448,4
Cell62783,4
Cell13673,4
Cell51749,4
Cell13710,4
Cell27839,4
Cell23015,4
Cell12425,4
Cell26057,4
Cell25468,4
Cell34551,4
Cell66067,4
Cell40241,4
Cell35152,4
Cell50904,4
Cell43259,4
Cell31654,4
Cell21671,4
Cell20054,4
Cell66090,4
Cell26423,4
Cell48325,4
Cell34013,4
Cell68709,4
Cell35109,4
Cell42011,4
Cell70648,4
Cell31395,4
Cell31014,4
Cell47530,4
Cell37904,4
Cell1401,4
Cell64306,4
Cell22677,4
Cell38151,4
Cell6903,4
Cell17440,4
Cell43328,4
Cell67717,4
Cell45778,4
Cell36937,4
Cell1185,4
Cell9286,4
Cell40969,4
Cell64885,4
Cell31096,4
Cell27402,4
Cell17170,4
Cell25939,4
Cell2624,4
Cell10942,4
Cell18963,4
Cell70515,4
Cell72367,4
Cell30550,4
Cell8479,4
Cell52654,4
Cell14282,4
Cell23413,4
Cell71480,4
Cell14445,4
Cell28067,4
Cell420,4
Cell57004,4
Cell61205,4
Cell30439,4
Cell39693,4
Cell33579,4
Cell50648,4
Cell1764,4
Cell41640,4
Cell48225,4
Cell18380,4
Cell64617,4
Cell20368,4
Cell57536,4
Cell60781,4
Cell52657,4
Cell47448,4
Cell3056,4
Cell63990,4
Cell1375,4
Cell25896,4
Cell20019,4
Cell52777,4
Cell39208,4
Cell46473,4
Cell26574,4
Cell20821,4
Cell71085,4
Cell28879,4
Cell51373,4
Cell35497,4
Cell56320,4
Cell45179,4
Cell7638,4
Cell54195,4
Cell15633,4
Cell21501,4
Cell49507,4
Cell44577,4
Cell15611,4
Cell24056,4
Cell51873,4
Cell12576,4
Cell59119,4
Cell44524,4
Cell37227,4
Cell70171,4
Cell23943,4
Cell56983,4
Cell64309,4
Cell25914,4
Cell67154,4
Cell41057,4
Cell4356,4
Cell66311,4
Cell63431,4
Cell48498,4
Cell22554,4
Cell51694,4
Cell23684,4
Cell51813,4
Cell3278,4
Cell8858,4
Cell72792,4
Cell47698,4
Cell17251,4
Cell27157,4
Cell56031,4
Cell65864,4
Cell46899,4
Cell9311,4
Cell32750,4
Cell6851,4
Cell17868,4
Cell37059,4
Cell1116,4
Cell60899,4
Cell52159,4
Cell2188,4
Cell4684,4
Cell10734,4
Cell27667,4
Cell41372,4
Cell13472,4
Cell25518,4
Cell36581,4
Cell30658,4
Cell54007,4
Cell52998,4
Cell18156,4
Cell44609,4
Cell63196,4
Cell40985,4
Cell18741,4
Cell63138,4
Cell24259,4
Cell3972,4
Cell39641,4
Cell40713,4
Cell4685,4
Cell62089,4
Cell11596,4
Cell13765,4
Cell42775,4
Cell52847,4
Cell7376,4
Cell40452,4
Cell20626,4
Cell10741,4
Cell4186,4
Cell16728,4
Cell20161,4
Cell38389,4
Cell39531,4
Cell52593,4
Cell8733,4
Cell2816,4
Cell36398,4
Cell13445,4
Cell16252,4
Cell48721,4
Cell63436,4
Cell24463,4
Cell15690,4
Cell69574,4
Cell32756,4
Cell50516,4
Cell56191,4
Cell19263,4
Cell27548,4
Cell30132,4
Cell54922,4
Cell68676,4
Cell70327,4
Cell71639,4
Cell7086,4
Cell27714,4
Cell52789,4
Cell42680,4
Cell16281,4
Cell20638,4
Cell41052,4
Cell25372,4
Cell72000,4
Cell45940,4
Cell37213,4
Cell17118,4
Cell9843,4
Cell59451,4
Cell30527,4
Cell43940,4
Cell59552,4
Cell16023,4
Cell69994,4
Cell17302,4
Cell31377,4
Cell7078,4
Cell55841,4
Cell17226,4
Cell9788,4
Cell52071,4
Cell56270,4
Cell28430,4
Cell55117,4
Cell49765,4
Cell42713,4
Cell35684,4
Cell15679,4
Cell63931,4
Cell1430,4
Cell60778,4
Cell52709,4
Cell54744,4
Cell44962,4
Cell13786,4
Cell62946,4
Cell44838,4
Cell68405,4
Cell2527,4
Cell4986,4
Cell47888,4
Cell35349,4
Cell58408,4
Cell68898,4
Cell12059,4
Cell40572,4
Cell17814,4
Cell33316,4
Cell53012,4
Cell14826,4
Cell51362,4
Cell39897,4
Cell23611,4
Cell60733,4
Cell58998,4
Cell43709,4
Cell16768,4
Cell62084,4
Cell73017,4
Cell38545,4
Cell5105,4
Cell31718,4
Cell33023,4
Cell66845,4
Cell22098,4
Cell57784,4
Cell12760,4
Cell60203,4
Cell20212,4
Cell22243,4
Cell33065,4
Cell20611,4
Cell24391,4
Cell49589,4
Cell20004,4
Cell50051,4
Cell36447,4
Cell47091,4
Cell58376,4
Cell8973,4
Cell13307,4
Cell41940,4
Cell30591,4
Cell43139,4
Cell10053,4
Cell55101,4
Cell44047,4
Cell46782,4
Cell61005,4
Cell14040,4
Cell26149,4
Cell16694,4
Cell71599,4
Cell28505,4
Cell40035,4
Cell70867,4
Cell66756,4
Cell50726,4
Cell19978,4
Cell30420,4
Cell15092,4
Cell66400,4
Cell12315,4
Cell72120,4
Cell47540,4
Cell6622,4
Cell45893,4
Cell62944,4
Cell53512,4
Cell68051,4
Cell7990,4
Cell53079,4
Cell28282,4
Cell19725,4
Cell12134,4
Cell59857,4
Cell41403,4
Cell53945,4
Cell13260,4
Cell45267,4
Cell71503,4
Cell12106,4
Cell5383,4
Cell15590,4
Cell19623,4
Cell11943,4
Cell7367,4
Cell26707,4
Cell17093,4
Cell3837,4
Cell59565,4
Cell25564,4
Cell23902,4
Cell18045,4
Cell17104,4
Cell56950,4
Cell27892,4
Cell52347,4
Cell36784,4
Cell14319,4
Cell22003,4
Cell60338,4
Cell31954,4
Cell33901,4
Cell71061,4
Cell65257,4
Cell14029,4
Cell25490,4
Cell45777,4
Cell26788,4
Cell29749,4
Cell51365,4
Cell58377,4
Cell8194,4
Cell43947,4
Cell67881,4
Cell55461,4
Cell42374,4
Cell32,4
Cell29658,4
Cell17559,4
Cell32975,4
Cell48142,4
Cell34595,4
Cell23624,4
Cell21766,4
Cell15774,4
Cell36494,4
Cell59461,4
Cell61455,4
Cell20619,4
Cell38909,4
Cell48977,4
Cell40126,4
Cell59960,4
Cell44350,4
Cell57072,4
Cell21116,4
Cell67036,4
Cell12977,4
Cell25924,4
Cell45352,4
Cell58790,4
Cell57208,4
Cell12040,4
Cell71548,4
Cell40140,4
Cell60619,4
Cell57467,4
Cell66844,4
Cell8323,4
Cell36922,4
Cell31769,4
Cell29827,4
Cell37146,4
Cell54149,4
Cell33073,4
Cell43836,4
Cell16586,4
Cell33075,4
Cell46904,4
Cell60443,4
Cell37433,4
Cell1137,4
Cell36570,4
Cell36208,4
Cell4263,4
Cell44432,4
Cell64228,4
Cell7750,4
Cell18188,4
Cell58801,4
Cell40882,4
Cell31956,4
Cell62452,4
Cell33384,4
Cell49494,4
Cell12498,4
Cell54754,4
Cell9945,4
Cell40275,4
Cell56670,4
Cell34627,4
Cell15856,4
Cell40878,4
Cell29117,4
Cell8874,4
Cell55035,4
Cell12037,4
Cell39548,4
Cell30870,4
Cell16845,4
Cell53579,4
Cell69568,4
Cell32470,4
Cell40319,4
Cell42371,4
Cell50230,4
Cell39063,4
Cell19129,4
Cell37354,4
Cell11821,4
Cell13282,4
Cell59905,4
Cell34965,4
Cell48846,4
Cell15756,4
Cell72193,4
Cell1316,4
Cell41128,4
Cell8528,4
Cell63089,4
Cell60393,4
Cell39150,4
Cell3516,4
Cell43801,4
Cell66902,4
Cell16067,4
Cell49403,4
Cell4007,4
Cell71606,4
Cell14380,4
Cell50866,4
Cell51669,4
Cell5782,4
Cell68424,4
Cell46812,4
Cell36375,4
Cell1097,4
Cell47290,4
Cell28947,4
Cell41221,4
Cell55606,4
Cell1094,4
Cell24860,4
Cell44615,4
Cell25582,4
Cell53872,4
Cell70814,4
Cell51650,4
Cell15396,4
Cell52158,4
Cell58599,4
Cell526,4
Cell66597,4
Cell68531,4
Cell19454,4
Cell25991,4
Cell70541,4
Cell4647,4
Cell58216,4
Cell62844,4
Cell54052,4
Cell39924,4
Cell51459,4
Cell4485,4
Cell23425,4
Cell66544,4
Cell62620,4
Cell9382,4
Cell40789,4
Cell32989,4
Cell62299,4
Cell53113,4
Cell5807,4
Cell32105,4
Cell17685,4
Cell46856,4
Cell22789,4
Cell30757,4
Cell20843,4
Cell12140,4
Cell3934,4
Cell15956,4
Cell2376,4
Cell11051,4
Cell53272,4
Cell48520,4
Cell58552,4
Cell37383,4
Cell66677,4
Cell63615,4
Cell34886,4
Cell1868,4
Cell40859,4
Cell9180,4
Cell12479,4
Cell5545,4
Cell37253,4
Cell44220,4
Cell25211,4
Cell27334,4
Cell37277,4
Cell56768,4
Cell59111,4
Cell63664,4
Cell34278,4
Cell12258,4
Cell66027,4
Cell52226,4
Cell21826,4
Cell62752,4
Cell27451,4
Cell27707,4
Cell71683,4
Cell43141,4
Cell10891,4
Cell50653,4
Cell25014,4
Cell19792,4
Cell341,4
Cell4541,4
Cell54690,4
Cell62887,4
Cell66041,4
Cell22667,4
Cell52485,4
Cell20969,4
Cell21572,4
Cell52900,4
Cell32458,4
Cell19638,4
Cell44007,4
Cell5130,4
Cell32463,4
Cell64684,4
Cell14857,4
Cell52622,4
Cell53648,4
Cell55325,4
Cell25963,4
Cell18396,4
Cell14449,4
Cell65577,4
Cell29529,4
Cell67186,4
Cell26171,4
Cell8484,4
Cell33376,4
Cell12346,4
Cell32187,4
Cell4538,4
Cell47177,4
Cell62691,4
Cell23707,4
Cell3178,4
Cell7482,4
Cell65547,4
Cell70618,4
Cell54583,4
Cell70308,4
Cell26442,4
Cell27825,4
Cell21319,4
Cell62351,4
Cell10268,4
Cell72657,4
Cell70287,4
Cell70436,4
Cell66029,4
Cell71052,4
Cell69621,4
Cell9662,4
Cell71589,4
Cell72425,4
Cell15030,4
Cell25935,4
Cell11109,4
Cell33742,4
Cell68508,4
Cell44061,4
Cell60923,4
Cell29989,4
Cell40774,4
Cell39564,4
Cell8627,4
Cell21452,4
Cell34677,4
Cell43587,4
Cell14567,4
Cell53918,4
Cell49427,4
Cell42107,4
Cell16025,4
Cell22352,4
Cell45034,4
Cell48609,4
Cell49312,4
Cell34676,4
Cell41374,4
Cell8978,4
Cell21817,4
Cell11350,4
Cell48258,4
Cell16062,4
Cell22669,4
Cell17478,4
Cell33334,4
Cell21266,4
Cell64986,4
Cell47977,4
Cell27521,4
Cell48361,4
Cell66337,4
Cell41534,4
Cell6599,4
Cell43388,4
Cell8071,4
Cell29101,4
Cell30893,4
Cell18743,4
Cell62368,4
Cell27972,4
Cell47785,4
Cell17932,4
Cell55970,4
Cell38620,4
Cell56695,4
Cell61003,4
Cell42496,4
Cell16169,4
Cell65802,4
Cell42257,4
Cell8882,4
Cell17604,4
Cell62869,4
Cell40188,4
Cell19072,4
Cell63265,4
Cell3608,4
Cell58694,4
Cell20593,4
Cell55401,4
Cell70209,4
Cell54551,4
Cell38247,4
Cell38459,4
Cell39400,4
Cell34385,4
Cell33480,4
Cell14865,4
Cell68558,4
Cell1269,4
Cell16956,4
Cell35780,4
Cell13010,4
Cell70936,4
Cell1502,4
Cell46968,4
Cell7556,4
Cell68223,4
Cell69781,4
Cell44835,4
Cell19954,4
Cell3600,4
Cell60410,4
Cell64532,4
Cell7564,4
Cell6505,4
Cell25814,4
Cell4454,4
Cell43913,4
Cell27489,4
Cell59472,4
Cell22332,4
Cell26714,4
Cell33158,4
Cell44225,4
Cell54433,4
Cell3967,4
Cell2537,4
Cell32974,4
Cell69771,4
Cell38631,4
Cell26843,4
Cell53793,4
Cell59056,4
Cell4365,4
Cell55575,4
Cell22208,4
Cell54836,4
Cell41306,4
Cell23193,4
Cell21629,4
Cell15556,4
Cell61388,4
Cell15299,4
Cell61782,4
Cell2169,4
Cell29727,4
Cell27120,4
Cell67246,4
Cell45512,4
Cell62528,4
Cell44097,4
Cell6866,4
Cell13088,4
Cell35931,4
Cell8935,4
Cell4998,4
Cell28256,4
Cell43788,4
Cell37853,4
Cell56282,4
Cell61855,4
Cell20181,4
Cell25113,4
Cell41755,4
Cell18565,4
Cell61260,4
Cell59903,4
Cell49821,4
Cell70330,4
Cell43873,4
Cell17479,4
Cell19441,4
Cell11626,4
Cell27980,4
Cell58124,4
Cell68950,4
Cell70766,4
Cell35459,4
Cell28609,4
Cell17676,4
Cell46531,4
Cell37247,4
Cell57959,4
Cell31521,4
Cell27995,4
Cell59454,4
Cell37308,4
Cell47697,4
Cell5428,4
Cell927,4
Cell15986,4
Cell22962,4
Cell52116,4
Cell9014,4
Cell53614,4
Cell17152,4
Cell60657,4
Cell1297,4
Cell34945,4
Cell1947,4
Cell38395,4
Cell1001,4
Cell67271,4
Cell14128,4
Cell55095,4
Cell38991,4
Cell49499,4
Cell54727,4
Cell68409,4
Cell63700,4
Cell41437,4
Cell28302,4
Cell42147,4
Cell54302,4
Cell33792,4
Cell41696,4
Cell25720,4
Cell68594,4
Cell73116,4
Cell29891,4
Cell66340,4
Cell17099,4
Cell38191,4
Cell28217,4
Cell25824,4
Cell26235,4
Cell29255,4
Cell65076,4
Cell46808,4
Cell21339,4
Cell59819,4
Cell33533,4
Cell64199,4
Cell25359,4
Cell16450,4
Cell2910,4
Cell8312,4
Cell29490,4
Cell56750,4
Cell35039,4
Cell45696,4
Cell68495,4
Cell3286,4
Cell50351,4
Cell72987,4
Cell16880,4
Cell11011,4
Cell7831,4
Cell5325,4
Cell25444,4
Cell11989,4
Cell28449,4
Cell58988,4
Cell12093,4
Cell56838,4
Cell11456,4
Cell54633,4
Cell2133,4
Cell44474,4
Cell65341,4
Cell20278,4
Cell32966,4
Cell4642,4
Cell61128,4
Cell64501,4
Cell18159,4
Cell38224,4
Cell35286,4
Cell28442,4
Cell36200,4
Cell66962,4
Cell17441,4
Cell16658,4
Cell9613,4
Cell47650,4
Cell72431,4
Cell18925,4
Cell70491,4
Cell63135,4
Cell28821,4
Cell30149,4
Cell25147,4
Cell53938,4
Cell64013,4
Cell55499,4
Cell25796,4
Cell15554,4
Cell53478,4
Cell49500,4
Cell30857,4
Cell61016,4
Cell9890,4
Cell7643,4
Cell43426,4
Cell52064,4
Cell35782,4
Cell22646,4
Cell48491,4
Cell69824,4
Cell5527,4
Cell40846,4
Cell71436,4
Cell69745,4
Cell67004,4
Cell27653,4
Cell47963,4
Cell22149,4
Cell51792,4
Cell47148,4
Cell58675,4
Cell43327,4
Cell60795,4
Cell6151,4
Cell53390,4
Cell27923,4
Cell58482,4
Cell41273,4
Cell19618,4
Cell24199,4
Cell33361,4
Cell52756,4
Cell62128,4
Cell59585,4
Cell17223,4
Cell57276,4
Cell43534,4
Cell16522,4
Cell13242,4
Cell17343,4
Cell71145,4
Cell70116,4
Cell14819,4
Cell30309,4
Cell3561,4
Cell56107,4
Cell27898,4
Cell38080,4
Cell30427,4
Cell63176,4
Cell27351,4
Cell18557,4
Cell2380,4
Cell58255,4
Cell56873,4
Cell36370,4
Cell9981,4
Cell41342,4
Cell46810,4
Cell2995,4
Cell69628,4
Cell65048,4
Cell17639,4
Cell43800,4
Cell72761,4
Cell60817,4
Cell25915,4
Cell8813,4
Cell16573,4
Cell33860,4
Cell53712,4
Cell71448,4
Cell23237,4
Cell11609,4
Cell18384,4
Cell11012,4
Cell47069,4
Cell38950,4
Cell7235,4
Cell59271,4
Cell41637,4
Cell64177,4
Cell9952,4
Cell58218,4
Cell67327,4
Cell46953,4
Cell42078,4
Cell7541,4
Cell60355,4
Cell48929,4
Cell64187,4
Cell46696,4
Cell36668,4
Cell57319,4
Cell56197,4
Cell54285,4
Cell2129,4
Cell9701,4
Cell72287,4
Cell30044,4
Cell2798,4
Cell6746,4
Cell12887,4
Cell68306,4
Cell55623,4
Cell55495,4
Cell40249,4
Cell12558,4
Cell61702,4
Cell67053,4
Cell4255,4
Cell2156,4
Cell41959,4
Cell52959,4
Cell61328,4
Cell27676,4
Cell42031,4
Cell67831,4
Cell39200,4
Cell33202,4
Cell11676,4
Cell39388,4
Cell58228,4
Cell58654,4
Cell59131,4
Cell41277,4
Cell2172,4
Cell2460,4
Cell2633,4
Cell23429,4
Cell50297,4
Cell2097,4
Cell67430,4
Cell52710,4
Cell26110,4
Cell53256,4
Cell6021,4
Cell8660,4
Cell5684,4
Cell59506,4
Cell34684,4
Cell15619,4
Cell45639,4
Cell22047,4
Cell44959,4
Cell50194,4
Cell33818,4
Cell11038,4
Cell44580,4
Cell22369,4
Cell63304,4
Cell47591,4
Cell28626,4
Cell52378,4
Cell31647,4
Cell25209,4
Cell34534,4
Cell64250,4
Cell40004,4
Cell9712,4
Cell9897,4
Cell30487,4
Cell59158,4
Cell8610,4
Cell63584,4
Cell66442,4
Cell30752,4
Cell24341,4
Cell11917,4
Cell46304,4
Cell29385,4
Cell28046,4
Cell51534,4
Cell35342,4
Cell18681,4
Cell71103,4
Cell46805,4
Cell40243,4
Cell26562,4
Cell39515,4
Cell71120,4
Cell37369,4
Cell48824,4
Cell15966,4
Cell30008,4
Cell13979,4
Cell33226,4
Cell64979,4
Cell44157,4
Cell17113,4
Cell50806,4
Cell14178,4
Cell8618,4
Cell54627,4
Cell66512,4
Cell53277,4
Cell57549,4
Cell17708,4
Cell4660,4
Cell14699,4
Cell54565,4
Cell57291,4
Cell41688,4
Cell66241,4
Cell39947,4
Cell1454,4
Cell47762,4
Cell2118,4
Cell36233,4
Cell21566,4
Cell34164,4
Cell32949,4
Cell27409,4
Cell34144,4
Cell8185,4
Cell50693,4
Cell57566,4
Cell22030,4
Cell4225,4
Cell7996,4
Cell43160,4
Cell47045,4
Cell9770,4
Cell18357,4
Cell31271,4
Cell62856,4
Cell48777,4
Cell15741,4
Cell37746,4
Cell65438,4
Cell1146,4
Cell25557,4
Cell30393,4
Cell5474,4
Cell12705,4
Cell34298,4
Cell49134,4
Cell62448,4
Cell41623,4
Cell23300,4
Cell66604,4
Cell61568,4
Cell61350,4
Cell206,4
Cell29404,4
Cell14809,4
Cell19817,4
Cell28117,4
Cell67960,4
Cell1762,4
Cell41360,4
Cell34470,4
Cell14983,4
Cell4501,4
Cell14105,4
Cell11409,4
Cell1635,4
Cell4222,4
Cell26757,4
Cell28278,4
Cell13490,4
Cell49898,4
Cell19410,4
Cell20751,4
Cell52171,4
Cell36838,4
Cell18484,4
Cell73038,4
Cell52759,4
Cell50605,4
Cell29326,4
Cell20025,4
Cell57207,4
Cell43022,4
Cell48281,4
Cell49158,4
Cell44430,4
Cell65147,4
Cell1408,4
Cell30504,4
Cell70934,4
Cell5577,4
Cell16086,4
Cell31248,4
Cell5232,4
Cell33730,4
Cell63635,4
Cell6482,4
Cell21818,4
Cell22064,4
Cell8213,4
Cell25259,4
Cell67826,4
Cell32106,4
Cell55853,4
Cell69335,4
Cell26523,4
Cell9728,4
Cell8933,4
Cell45157,4
Cell44552,4
Cell19272,4
Cell23962,4
Cell225,4
Cell34691,4
Cell17919,4
Cell58691,4
Cell18901,4
Cell66899,4
Cell49344,4
Cell50886,4
Cell58709,4
Cell41487,4
Cell26787,4
Cell25694,4
Cell26474,4
Cell16190,4
Cell18444,4
Cell48500,4
Cell67450,4
Cell58249,4
Cell46171,4
Cell56420,4
Cell7085,4
Cell56446,4
Cell4728,4
Cell61059,4
Cell6389,4
Cell20506,4
Cell59043,4
Cell15833,4
Cell22371,4
Cell24813,4
Cell71390,4
Cell9302,4
Cell37873,4
Cell62664,4
Cell60117,4
Cell17631,4
Cell373,4
Cell60861,4
Cell35991,4
Cell53455,4
Cell2203,4
Cell65934,4
Cell58911,4
Cell53074,4
Cell21809,4
Cell32424,4
Cell1301,4
Cell27575,4
Cell64429,4
Cell62093,4
Cell14438,4
Cell40762,4
Cell30474,4
Cell57778,4
Cell37453,4
Cell46259,4
Cell41025,4
Cell33406,4
Cell55403,4
Cell52497,4
Cell71715,4
Cell1226,4
Cell66191,4
Cell70272,4
Cell61176,4
Cell11184,4
Cell15472,4
Cell2316,4
Cell53628,4
Cell61076,4
Cell43087,4
Cell10536,4
Cell3289,4
Cell20996,4
Cell33153,4
Cell6033,4
Cell13627,4
Cell45915,4
Cell28231,4
Cell39879,4
Cell49687,4
Cell1579,4
Cell69742,4
Cell30548,4
Cell40022,4
Cell52258,4
Cell42330,4
Cell26678,4
Cell14335,4
Cell28344,4
Cell17362,4
Cell11968,4
Cell11724,4
Cell316,4
Cell59067,4
Cell43567,4
Cell21051,4
Cell45861,4
Cell21959,4
Cell40155,4
Cell71838,4
Cell69154,4
Cell30072,4
Cell60155,4
Cell50278,4
Cell23561,4
Cell11025,4
Cell34769,4
Cell72234,4
Cell49314,4
Cell39685,4
Cell70237,4
Cell44926,4
Cell23163,4
Cell13912,4
Cell6800,4
Cell12098,4
Cell38324,4
Cell63941,4
Cell63013,4
Cell65158,4
Cell31852,4
Cell9141,4
Cell48820,4
Cell67927,4
Cell16321,4
Cell52765,4
Cell20625,4
Cell61993,4
Cell71115,4
Cell27764,4
Cell12942,4
Cell4170,4
Cell25136,4
Cell1812,4
Cell67850,4
Cell69186,4
Cell59713,4
Cell54859,4
Cell64127,4
Cell6031,4
Cell25186,4
Cell43429,4
Cell34168,4
Cell51210,4
Cell66780,4
Cell36936,4
Cell16212,4
Cell64811,4
Cell47910,4
Cell35901,4
Cell38180,4
Cell55131,4
Cell22598,4
Cell5876,4
Cell40286,4
Cell54844,4
Cell19242,4
Cell46675,4
Cell57081,4
Cell7932,4
Cell5169,4
Cell58892,4
Cell46332,4
Cell42514,4
Cell14016,4
Cell61640,4
Cell14004,4
Cell46768,4
Cell72944,4
Cell16688,4
Cell27616,4
Cell11270,4
Cell44342,4
Cell65481,4
Cell56071,4
Cell2333,4
Cell59055,4
Cell22541,4
Cell46246,4
Cell50912,4
Cell67783,4
Cell29607,4
Cell43037,4
Cell56090,4
Cell57520,4
Cell69518,4
Cell54272,4
Cell53933,4
Cell68894,4
Cell66616,4
Cell58308,4
Cell36251,4
Cell19447,4
Cell5866,4
Cell47655,4
Cell9840,4
Cell47031,4
Cell31280,4
Cell64425,4
Cell42832,4
Cell58164,4
Cell1238,4
Cell29825,4
Cell71179,4
Cell59535,4
Cell45673,4
Cell8593,4
Cell31012,4
Cell41439,4
Cell29851,4
Cell14359,4
Cell54004,4
Cell47899,4
Cell58242,4
Cell39866,4
Cell62428,4
Cell67418,4
Cell43843,4
Cell1851,4
Cell426,4
Cell71789,4
Cell26499,4
Cell28404,4
Cell64119,4
Cell52999,4
Cell4846,4
Cell43799,4
Cell36754,4
Cell7945,4
Cell6611,4
Cell40201,4
Cell65945,4
Cell15459,4
Cell67781,4
Cell22600,4
Cell44590,4
Cell33682,4
Cell16103,4
Cell22232,4
Cell15086,4
Cell55118,4
Cell5726,4
Cell52155,4
Cell58637,4
Cell43878,4
Cell51670,4
Cell28351,4
Cell15314,4
Cell21750,4
Cell71150,4
Cell31251,4
Cell61338,4
Cell10823,4
Cell33342,4
Cell25138,4
Cell28413,4
Cell17721,4
Cell26410,4
Cell43484,4
Cell17363,4
Cell5186,4
Cell32339,4
Cell23948,4
Cell25928,4
Cell35386,4
Cell63048,4
Cell6343,4
Cell40170,4
Cell9619,4
Cell28515,4
Cell51420,4
Cell3613,4
Cell48372,4
Cell31939,4
Cell56460,4
Cell13615,4
Cell64149,4
Cell55599,4
Cell71458,4
Cell52339,4
Cell29257,4
Cell51201,4
Cell5643,4
Cell46145,4
Cell44335,4
Cell21113,4
Cell12131,4
Cell19158,4
Cell46215,4
Cell1823,4
Cell19940,4
Cell36741,4
Cell33924,4
Cell46139,4
Cell17044,4
Cell27636,4
Cell20224,4
Cell35235,4
Cell21104,4
Cell3629,4
Cell20171,4
Cell68397,4
Cell27349,4
Cell64999,4
Cell61726,4
Cell51834,4
Cell10403,4
Cell30615,4
Cell12029,4
Cell7854,4
Cell22289,4
Cell12,4
Cell37459,4
Cell43665,4
Cell10381,4
Cell305,4
Cell67241,4
Cell63809,4
Cell46271,4
Cell47944,4
Cell19747,4
Cell16132,4
Cell23527,4
Cell3783,4
Cell44829,4
Cell63945,4
Cell26180,4
Cell27625,4
Cell36735,4
Cell30917,4
Cell68161,4
Cell30419,4
Cell57603,4
Cell64692,4
Cell60265,4
Cell42592,4
Cell41358,4
Cell47243,4
Cell25818,4
Cell31890,4
Cell224,4
Cell26200,4
Cell17225,4
Cell1785,4
Cell67376,4
Cell53859,4
Cell37635,4
Cell11458,4
Cell50755,4
Cell59346,4
Cell23359,4
Cell1378,4
Cell34935,4
Cell46986,4
Cell24174,4
Cell69298,4
Cell42982,4
Cell47235,4
Cell31264,4
Cell10352,4
Cell3985,4
Cell27736,4
Cell39973,4
Cell49354,4
Cell64083,4
Cell45029,4
Cell19382,4
Cell68720,4
Cell22514,4
Cell9575,4
Cell72466,4
Cell23182,4
Cell65888,4
Cell12802,4
Cell23828,4
Cell69614,4
Cell43768,4
Cell10599,4
Cell4259,4
Cell5338,4
Cell30976,4
Cell34363,4
Cell31472,4
Cell36437,4
Cell9333,4
Cell1731,4
Cell68079,4
Cell58430,4
Cell10726,4
Cell33931,4
Cell23658,4
Cell2726,4
Cell36913,4
Cell64402,4
Cell65225,4
